organism	rename	category
		
Adenovirus	Adenovirus	Adenovirus
Akkermansia muciniphila	Akkermansia muciniphila	Akkermansia muciniphila
Allergy	Allergy	Allergy
pollen allergen	Allergy	Allergy
Allograft rejection	Allograft rejection	Allograft rejection
Alzheimer's disease	Alzheimer's disease	Alzheimer's disease
Arachis hypogaea (peanut)	Arachis hypogaea	Arachis hypogaea
ARDS	ARDS	ARDS
Biliary atresia	Biliary atresia	Biliary atresia
Breast cancer	Breast cancer	Breast cancer
Breast Cancer	Breast cancer	Breast cancer
Calcified Aortic Stenosis disease	Calcified Aortic Stenosis disease	Calcified Aortic Stenosis disease
Carcinoma	Carcinoma	Carcinoma
Cardiac valve allograft chronic rejection	Cardiac valve allograft chronic rejection	Cardiac valve allograft chronic rejection
Celiac disease	Celiac disease	Celiac disease
Cervical cancer	Cervical cancer	Cervical cancer
Cervical carcinoma	Cervical cancer	Cervical cancer
Cervical intraepithelial neoplasia	Cervical cancer	Cervical cancer
Chronic Obstructive Lung Disease	Chronic Obstructive Lung Disease	Chronic Obstructive Lung Disease
Churg Strauss syndrome	Churg Strauss syndrome	Churg Strauss syndrome
Clear cell renal carcinoma	Clear cell renal carcinoma	Clear cell renal carcinoma
Cytomegalovirus (CMV)	CMV	CMV
CMV	CMV	CMV
Collagen type II-induced arthritis	Collagen type II-induced arthritis	Collagen type II-induced arthritis
Colorectal cancer	Colorectal cancer	Colorectal cancer
Chaerephon bat coronavirus/Kenya/KY22/2006 (Bat coronavirus BtKY22/Chaerephon sp./Kenya/2006)	coronavirus	coronavirus
Human coronavirus 229E (Coronavirus 229E)	coronavirus	coronavirus
Human coronavirus HKU1 (CoV-HKU1)	coronavirus	coronavirus
Human coronavirus HKU1 (isolate N1)	coronavirus	coronavirus
Human coronavirus NL63 (Coronavirus NL63)	coronavirus	coronavirus
Human coronavirus OC43 (Human coronavirus (strain OC43))	coronavirus	coronavirus
Middle East respiratory syndrome-related coronavirus (MERS coronavirus)	coronavirus	coronavirus
Murine hepatitis virus strain JHM (Murine coronavirus mhv (STRAIN JHM))	coronavirus	coronavirus
NL63-related bat coronavirus	coronavirus	coronavirus
SARS coronavirus BJ01	coronavirus	coronavirus
SARS coronavirus TJF	coronavirus	coronavirus
SARS coronavirus Urbani (SARS coronavirus strain Urbani)	coronavirus	coronavirus
SARS-CoV1	coronavirus	coronavirus
HCoV-HKU1	coronavirus	coronavirus
SARS-CoV	coronavirus	coronavirus
Coxsackievirus B1 (Coxsackie B virus type 1)	Coxsackievirus	Coxsackievirus
Coxsackievirus B4 (Coxsackie B virus type 4)	Coxsackievirus	Coxsackievirus
CoxsackievirusB	Coxsackievirus	Coxsackievirus
Dengue virus	Dengue virus	Dengue virus
Dengue virus 2 Thailand/16681/84 (Dengue virus type 2 (strain 16681))	Dengue virus	Dengue virus
dengue virus type 1 (dengue type 1 D1 virus)	Dengue virus	Dengue virus
dengue virus type 3 (Dengue virus serotype 3)	Dengue virus	Dengue virus
DENV1	Dengue virus	Dengue virus
DENV2	Dengue virus	Dengue virus
DENV3/4	Dengue virus	Dengue virus
DENV	Dengue virus	Dengue virus
Nickel contact dermatitis	dermatitis	dermatitis
OMDT-occupational medicamentosa-like dermatitis	dermatitis	dermatitis
Diabetes Type 1	Diabetes Type 1	Diabetes
Diabetes type 2	Diabetes Type 2	Diabetes
Escherichia coli	Escherichia coli	Escherichia coli
E.Coli	Escherichia coli	Escherichia coli
Experimental autoimmune encephalomyelitis (EAE)	Experimental autoimmune encephalomyelitis	Experimental autoimmune encephalomyelitis
Gallus gallus (chicken)	Gallus gallus	Gallus gallus
GallusGallus	Gallus gallus	Gallus gallus
Gastroesophageal cancer	Gastroesophageal cancer	Gastroesophageal cancer
Graft Vs Host Disease	Graft Vs Host Disease	Graft Vs Host Disease
gsiA	gsiA	gsiA
Head and neck squamous cell carcinoma	Head and neck squamous cell carcinoma	Head and neck squamous cell carcinoma
Hepacivirus hominis	Hepacivirus hominis	Hepacivirus hominis
Hepatitis B virus (Human hepatitis B virus)	Hepatitis B	Hepatitis
Hepatitis B virus subtype ayw (Hepatitis B virus (SUBTYPE AYW))	Hepatitis B	Hepatitis
Hepatitis C virus	Hepatitis C	Hepatitis
Hepatitis C virus (isolate H77) (Hepatitis C virus strain H77)	Hepatitis C	Hepatitis
Hepatitis C virus isolate HC-J8 (Hepatitis C virus (isolate HC-J8))	Hepatitis C	Hepatitis
Hepatitis C virus subtype 1b (Hepatitis C virus type 1b)	Hepatitis C	Hepatitis
hepatitis C virus genotype 1a (Hepatitis C virus subtype 1a)	Hepatitis C	Hepatitis
Hepatitis C virus (HCV)	Hepatitis C	Hepatitis
HCV	Hepatitis C	Hepatitis
Hepatitis E virus type 3 (Hepatitis E virus genotype 3)	Hepatitis E	Hepatitis
Hepatitis E virus infection (cHEV)	Hepatitis E	Hepatitis
Human immunodeficiency virus (HIV)	HIV	HIV
Human immunodeficiency virus (HIV) related	HIV	HIV
HIV	HIV	HIV
